Index,Image,Style,Colour,Offer SKU,Cost Price,RRP,Sale Price,Stock,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Total Sold
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,2 tone tan,0004932900,6.95,59.99,29.99,240.0,43,125,179,200,547
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,BLACK,0005310300,6.95,59.99,29.99,274.0,0,635,401,208,1244
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,ICE GREY,0004933200,6.95,59.99,29.99,124.0,28,17,20,22,87
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,RASPBERRY,0005347200,6.95,59.99,29.99,191.0,0,15,20,17,52
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,ROSE,0004933700,6.95,59.99,29.99,202.0,0,31,30,28,89
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,cotwold navy,0004933000,6.95,59.99,29.99,130.0,1,285,153,91,530
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,deep lake,0004933100,6.95,59.99,29.99,135.0,0,20,18,19,57
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,light wine,0004933300,6.95,59.99,29.99,96.0,0,52,20,17,89
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,ochre yellow,0004933400,6.95,59.99,29.99,53.0,0,32,23,26,81
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,parafin,0004933500,6.95,59.99,29.99,223.0,50,33,37,59,179
1,https://www.leathercompany.co.uk/images/products/zoom/1705510057-55605800.jpg,64033,sodalite blue,0004933800,6.95,59.99,29.99,147.0,0,18,16,18,52
2,https://www.leathercompany.co.uk/images/products/zoom/1727108784-92342500.jpg,ava,BLACK,0005291800,8.95,94.99,32.49,1487.0,1,411,5,1,418
2,https://www.leathercompany.co.uk/images/products/zoom/1727108784-92342500.jpg,ava,BROWN,0005292000,8.95,94.99,32.49,593.0,0,214,0,0,214
2,https://www.leathercompany.co.uk/images/products/zoom/1727108784-92342500.jpg,ava,COGNAC,0005291900,8.95,94.99,32.49,738.0,0,617,7,3,627
